ingest_date,ingest_ts,source,source_market,marketplace,category,rank_position,is_mover_shaker,asin,product_title,brand,price,currency,rating,review_count,product_url,image_url,fetch_method,compliance_status
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,2,0,B001STX13U,Purina Fancy Feast Grilled Wet Cat Food Seafood Collection in Wet Cat Food Variety Pack - (Pack of 24) 3 oz. Cans,Purina,0.0,USD,4.7,47111,https://www.amazon.com/Purina-Fancy-Feast-Grilled-Collection/dp/B001STX13U/ref=zg_bs_g_2975265011_d_sccl_3/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81K7YvcfLpL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,3,0,B007JXVR76,"Meow Mix Original Choice Dry Cat Food, 6.3 Pound Bag",Meo,0.0,USD,4.7,52074,https://www.amazon.com/Meow-Mix-Original-Dry-Food/dp/B007JXVR76/ref=zg_bs_g_2975265011_d_sccl_4/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81fR3aorQGL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,4,0,B0727R5C5Q,"Purina Friskies Gravy Swirlers With Flavors of Chicken, Salmon and Gravy Dry Cat Food - 3.15 lb. Bag",Purina,0.0,USD,4.7,37069,https://www.amazon.com/Purina-Friskies-Gravy-Swirlers-Adult/dp/B0727R5C5Q/ref=zg_bs_g_2975265011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71L-vopG6RL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,5,0,B01BKYFR7K,"IAMS Proactive Health Dry Cat Food, Indoor Weight and Hairball Care Cat Food Dry Recipe, with Real Chicken in Every Bite, 7 l",IAMS,0.0,USD,4.8,37381,https://www.amazon.com/Iams-Proactive-Hairball-Chicken-Packaging/dp/B01BKYFR7K/ref=zg_bs_g_2975265011_d_sccl_7/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71FIIsgfS-L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,6,0,B000R4H2MI,"Purina ONE Natural Dry Cat Food, Tender Selects Blend With Real Salmon - 7 lb. Bag",Purina,0.0,USD,4.7,26823,https://www.amazon.com/Purina-ONE-Tender-Selects-Salmon/dp/B000R4H2MI/ref=zg_bs_g_2975265011_d_sccl_8/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71JWH8vsaSL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,7,0,B00HN089EO,"Purina Friskies Dry Cat Food Seafood Sensations With Salmon, Tuna, and Shrimp Flavors - 22 lb. Bag",Purina,0.0,USD,4.7,28880,https://www.amazon.com/Purina-Friskies-Seafood-Sensations-Adult/dp/B00HN089EO/ref=zg_bs_g_2975265011_d_sccl_9/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81M3IVlQKSL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,8,0,B00JT3TP1O,Purina Fancy Feast Seafood Classic Pate Collection Grain Free Wet Cat Food Variety Pack - (Pack of 30) 3 oz. Cans,Purina,0.0,USD,4.7,20813,https://www.amazon.com/Fancy-Feast-Sea-Variety-Pack/dp/B00JT3TP1O/ref=zg_bs_g_2975265011_d_sccl_10/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81BBXtVYK1L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,9,0,B0777J8V5J,"Purina Friskies Gravy Wet Cat Food Variety Pack, Surfin’ and Turfin’ Prime Filets Favorites - (Pack of 40) 5.5 oz. Cans",Purina,0.0,USD,4.6,20697,https://www.amazon.com/Purina-Friskies-Surfin-Favorites-Variety/dp/B0777J8V5J/ref=zg_bs_g_2975265011_d_sccl_11/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/91SPhFTd0xL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,10,0,B07CX9STN3,"Purina Friskies Wet Cat Food Variety Pack, Shreds With Beef, Turkey and Cheese Dinner, Chicken and Salmon Dinner, and With Oc",Purina,0.0,USD,4.7,29221,https://www.amazon.com/Purina-Friskies-Shreds-Gravy-Variety/dp/B07CX9STN3/ref=zg_bs_g_2975265011_d_sccl_15/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81z+RJmjWWL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Cat Food,11,0,B000084DWM,"Hill's Science Diet Adult 1-6 Dry Cat Food, Chicken, 4 lb. Bag",Hill's,0.0,USD,4.7,17454,https://www.amazon.com/Science-Diet-Optimal-Chicken-Recipe/dp/B000084DWM/ref=zg_bs_g_2975265011_d_sccl_16/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81K-yNZzaHL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
